                             component htbin njetbin mhtbin        jet_pt      n   nvar
           QCD_HT700to1000_madgraphMLM   400       6    400 281.838293126      0      0
           QCD_HT700to1000_madgraphMLM   400       6    400 316.227766017      0      0
           QCD_HT700to1000_madgraphMLM   400       6    400 354.813389234      0      0
           QCD_HT700to1000_madgraphMLM   400       6    400 398.107170553      0      0
           QCD_HT700to1000_madgraphMLM   400       6    400 446.683592151      0      0
           QCD_HT700to1000_madgraphMLM   400       6    600 158.489319246      0      0
           QCD_HT700to1000_madgraphMLM   800       2    200 281.838293126      0      0
           QCD_HT700to1000_madgraphMLM   800       2    200 316.227766017      0      0
           QCD_HT700to1000_madgraphMLM   800       2    200 354.813389234      0      0
           QCD_HT700to1000_madgraphMLM   800       2    200 398.107170553      0      0
           QCD_HT700to1000_madgraphMLM   800       2    200 446.683592151      0      0
           QCD_HT700to1000_madgraphMLM   800       2    200 501.187233627     92     92
           QCD_HT700to1000_madgraphMLM   800       2    200  562.34132519     25     25
           QCD_HT700to1000_madgraphMLM   800       2    200  630.95734448     21     21
           QCD_HT700to1000_madgraphMLM   800       2    200 707.945784384      2      2
           QCD_HT700to1000_madgraphMLM   800       2    200 794.328234724      0      0
           QCD_HT700to1000_madgraphMLM   800       2    400 446.683592151      0      0
           QCD_HT700to1000_madgraphMLM   800       2    400 501.187233627      0      0
           QCD_HT700to1000_madgraphMLM   800       2    400  562.34132519      0      0
           QCD_HT700to1000_madgraphMLM   800       2    400  630.95734448      0      0
           QCD_HT700to1000_madgraphMLM   800       2    400 707.945784384      1      1
           QCD_HT700to1000_madgraphMLM   800       2    400 794.328234724      0      0
           QCD_HT700to1000_madgraphMLM   800       2    600 707.945784384      0      0
           QCD_HT700to1000_madgraphMLM   800       3    200  112.20184543      0      0
           QCD_HT700to1000_madgraphMLM   800       3    200 125.892541179      0      0
           QCD_HT700to1000_madgraphMLM   800       3    200 141.253754462      0      0
           QCD_HT700to1000_madgraphMLM   800       3    200 158.489319246      0      0
           QCD_HT700to1000_madgraphMLM   800       3    200 177.827941004      0      0
           QCD_HT700to1000_madgraphMLM   800       3    200 199.526231497      1      1
           QCD_HT700to1000_madgraphMLM   800       3    200 223.872113857     10     10
           QCD_HT700to1000_madgraphMLM   800       3    200 251.188643151     25     25
           QCD_HT700to1000_madgraphMLM   800       3    200 281.838293126     47     47
           QCD_HT700to1000_madgraphMLM   800       3    200 316.227766017     45     45
           QCD_HT700to1000_madgraphMLM   800       3    200 354.813389234     69     69
           QCD_HT700to1000_madgraphMLM   800       3    200 398.107170553     71     71
           QCD_HT700to1000_madgraphMLM   800       3    200 446.683592151    140    140
           QCD_HT700to1000_madgraphMLM   800       3    200 501.187233627    127    127
           QCD_HT700to1000_madgraphMLM   800       3    200  562.34132519     50     50
           QCD_HT700to1000_madgraphMLM   800       3    200  630.95734448     28     28
           QCD_HT700to1000_madgraphMLM   800       3    200 707.945784384      2      2
           QCD_HT700to1000_madgraphMLM   800       3    200 794.328234724      0      0
           QCD_HT700to1000_madgraphMLM   800       3    400 199.526231497      0      0
           QCD_HT700to1000_madgraphMLM   800       3    400 223.872113857      0      0
           QCD_HT700to1000_madgraphMLM   800       3    400 251.188643151      0      0
           QCD_HT700to1000_madgraphMLM   800       3    400 281.838293126      0      0
           QCD_HT700to1000_madgraphMLM   800       3    400 316.227766017      0      0
           QCD_HT700to1000_madgraphMLM   800       3    400 354.813389234      0      0
           QCD_HT700to1000_madgraphMLM   800       3    400 398.107170553      0      0
           QCD_HT700to1000_madgraphMLM   800       3    400 446.683592151      0      0
           QCD_HT700to1000_madgraphMLM   800       3    400 501.187233627      0      0
           QCD_HT700to1000_madgraphMLM   800       3    400  562.34132519      0      0
           QCD_HT700to1000_madgraphMLM   800       3    400  630.95734448      1      1
           QCD_HT700to1000_madgraphMLM   800       3    400 707.945784384      1      1
           QCD_HT700to1000_madgraphMLM   800       3    400 794.328234724      1      1
           QCD_HT700to1000_madgraphMLM   800       3    400 891.250938134      0      0
